--- STARTED NEW SESSION ---
Frame 0131 -> Crop: 0.05ms | Resize: 0.40ms | Bright: 0.49ms | Contrast: 0.94ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 2.06ms
Frame 0132 -> Crop: 0.06ms | Resize: 0.29ms | Bright: 0.36ms | Contrast: 0.78ms | Blur: 0.06ms | HSV Conv: 0.09ms | Total Preprocess: 1.64ms
Frame 0133 -> Crop: 0.05ms | Resize: 0.36ms | Bright: 0.58ms | Contrast: 0.89ms | Blur: 0.14ms | HSV Conv: 0.10ms | Total Preprocess: 2.11ms
Frame 0134 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.54ms | Contrast: 0.88ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.96ms
Frame 0135 -> Crop: 0.06ms | Resize: 0.33ms | Bright: 0.43ms | Contrast: 0.87ms | Blur: 0.07ms | HSV Conv: 0.11ms | Total Preprocess: 1.86ms
Frame 0136 -> Crop: 0.05ms | Resize: 0.39ms | Bright: 0.39ms | Contrast: 0.87ms | Blur: 0.08ms | HSV Conv: 0.09ms | Total Preprocess: 1.87ms
Frame 0137 -> Crop: 0.05ms | Resize: 0.43ms | Bright: 0.39ms | Contrast: 0.89ms | Blur: 0.08ms | HSV Conv: 0.11ms | Total Preprocess: 1.94ms
Frame 0138 -> Crop: 0.05ms | Resize: 0.31ms | Bright: 0.38ms | Contrast: 0.79ms | Blur: 0.06ms | HSV Conv: 0.09ms | Total Preprocess: 1.68ms
Frame 0139 -> Crop: 0.05ms | Resize: 0.37ms | Bright: 0.50ms | Contrast: 0.87ms | Blur: 0.06ms | HSV Conv: 0.10ms | Total Preprocess: 1.95ms
Frame 0140 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.50ms | Contrast: 0.86ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.91ms
Frame 0141 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.41ms | Contrast: 0.99ms | Blur: 0.06ms | HSV Conv: 0.09ms | Total Preprocess: 1.93ms
Frame 0142 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.38ms | Contrast: 0.97ms | Blur: 0.08ms | HSV Conv: 0.12ms | Total Preprocess: 1.91ms
Frame 0143 -> Crop: 0.05ms | Resize: 0.29ms | Bright: 0.48ms | Contrast: 0.77ms | Blur: 0.06ms | HSV Conv: 0.11ms | Total Preprocess: 1.75ms
Frame 0144 -> Crop: 0.08ms | Resize: 0.42ms | Bright: 0.47ms | Contrast: 0.78ms | Blur: 0.07ms | HSV Conv: 0.09ms | Total Preprocess: 1.91ms
Frame 0145 -> Crop: 0.05ms | Resize: 0.33ms | Bright: 0.38ms | Contrast: 0.88ms | Blur: 0.08ms | HSV Conv: 0.10ms | Total Preprocess: 1.81ms
Frame 0146 -> Crop: 0.05ms | Resize: 0.32ms | Bright: 0.39ms | Contrast: 0.84ms | Blur: 0.07ms | HSV Conv: 0.10ms | Total Preprocess: 1.76ms
